Num Parent Tweets,Num Replies to Parents,Avg Replies per Parent,Num Parent Tweets with Replies,Avg Replies per Parent with Replies,Num Toxic Parent Tweets,Num Non-Toxic Parent Tweets,Num Toxic Replies,Num Non-Toxic Replies,Num Toxic Replies to Non-Toxic Parents,Num Non-Toxic Replies to Non-Toxic Parents,Num Toxic Replies to Toxic Parents,Num Non-Toxic Replies to Toxic Parents,followers_count,friends_count,listed_count,created_at,favourites_count,geo_enabled,verified,statuses_count,contributors_enabled,is_translator,is_translation_enabled,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,geo,place,truncated,hashtags,symbols,user_mentions,urls,contributors,is_quote_status,retweet_count min,retweet_count avg,retweet_count max,favorite_count min,favorite_count avg,favorite_count max,favorited,retweeted,possibly_sensitive,Num Repliers With Min 1 Toxic Reply,Num parents with high Toxicity,Num parents with high Severe_Toxicity,Num parents with high Identity_Attack,Num parents with high Insult,Num parents with high Profanity,Num parents with high Threat,Num parents with high other attr,Num replies with high Toxicity,Num replies with high Severe_Toxicity,Num replies with high Identity_Attack,Num replies with high Insult,Num replies with high Profanity,Num replies with high Threat,Num replies with high other attr,Total tweets with high Toxicity,Total tweets with high Severe_Toxicity,Total tweets with high Identity_Attack,Total tweets with high Insult,Total tweets with high Profanity,Total tweets with high Threat,Total tweets with high other attr,Num Repliers,Num parents with <3 replies,Num parents with >=3 replies,User Desc,Top Desc Word #1: women,Top Desc Word #2: love,Top Desc Word #3: news,Top Desc Word #4: account,Top Desc Word #5: feminist,Top Desc Word #6: official,Top Desc Word #7: follow,Top Desc Word #8: products,Top Desc Word #9: tweets,Top Desc Word #10: womens
396,213,0.537878788,39,5.461538462,17,379,1,212,1,176,0,36,4774,1304,0,Tue Jun 12 19:35:26 +0000 2018,34579,Yes,No,38520,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,6.406565657,254,0,39.24747475,1356,No,No,No,1,1,0,4,2,6,4,0,0,0,0,0,1,0,0,1,0,4,2,7,4,0,140,375,21,User Desc,No,No,No,No,No,No,No,No,No,No
790,1,0.001265823,1,1,142,648,0,1,0,1,0,0,2014,50,15,Wed Jun 13 12:24:42 +0000 2018,73960,Yes,No,18170,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,0.93164557,7,0,8.953164557,55,No,No,Yes,0,38,0,0,0,104,0,0,0,0,0,0,0,0,0,38,0,0,0,104,0,0,1,790,0,User Desc,No,No,No,No,No,No,No,No,No,No
3189,92,0.028849169,51,1.803921569,57,3132,3,89,2,85,1,4,44100,14,227,Sun Jun 24 22:22:14 +0000 2018,36,No,No,11294,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,0,10.69269363,130,3,73.3963625,707,No,No,No,3,0,0,0,0,52,5,0,0,0,0,0,3,0,0,0,0,0,0,55,5,0,80,3180,9,User Desc,No,No,No,No,No,No,No,No,Yes,No
3126,87,0.027831094,51,1.705882353,49,3077,1,86,1,86,0,0,41294,14,209,Sun Jun 24 22:22:14 +0000 2018,36,No,No,10682,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,0,10.75207933,120,3,74.33045425,661,No,No,No,1,0,0,0,0,42,7,0,0,0,0,1,0,0,0,0,0,0,1,42,7,0,69,3120,6,User Desc,No,No,No,No,No,No,No,No,Yes,No
3129,98,0.031319911,66,1.484848485,35,3094,0,98,0,97,0,1,41905,14,213,Sun Jun 24 22:22:14 +0000 2018,35,No,No,10833,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,0,10.85842122,120,3,74.3627357,661,No,No,No,0,0,0,0,0,31,4,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0,75,3121,8,User Desc,No,No,No,No,No,No,No,No,Yes,No
3122,84,0.02690583,55,1.527272727,42,3080,4,80,4,78,0,2,42590,14,219,Sun Jun 24 22:22:14 +0000 2018,36,No,No,10974,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,0,10.80845612,118,3,74.37155669,661,No,No,No,4,0,0,0,0,35,7,0,0,0,0,0,4,0,0,0,0,0,0,39,7,0,70,3118,4,User Desc,No,No,No,No,No,No,No,No,Yes,No
3189,92,0.028849169,50,1.84,94,3095,6,86,5,83,1,3,44263,14,228,Sun Jun 24 22:22:14 +0000 2018,36,No,No,11325,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,0,10.6321731,131,3,73.19253685,715,No,No,No,6,0,0,0,0,85,9,0,0,0,0,0,6,0,0,0,0,0,0,91,9,0,79,3180,9,User Desc,No,No,No,No,No,No,No,No,Yes,No
36,0,0,0,0,0,36,0,0,0,0,0,0,873,651,1,Mon Jun 25 12:05:17 +0000 2018,4498,No,No,1897,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,0,0.111111111,1,0,3.777777778,31,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,User Desc,No,No,No,No,No,No,No,No,No,No
722,150,0.207756233,44,3.409090909,2,720,0,150,0,150,0,0,14351,1556,42,Tue Jun 26 12:02:33 +0000 2018,117180,No,No,37631,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,30.57202216,508,4,119.6398892,1707,No,No,No,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,126,704,18,User Desc,Yes,No,No,No,No,No,No,No,No,No
729,165,0.226337449,44,3.75,0,729,2,163,2,163,0,0,14364,1558,46,Tue Jun 26 12:02:33 +0000 2018,117390,No,No,37683,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,30.74074074,507,4,119.7256516,1705,No,No,No,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,143,710,19,User Desc,Yes,No,No,No,No,No,No,No,No,No
733,264,0.360163711,60,4.4,1,732,5,259,5,259,0,0,14307,1560,41,Tue Jun 26 12:02:33 +0000 2018,116998,No,No,37531,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,30.56207367,511,4,120.154161,1708,No,No,No,5,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,2,4,0,0,215,712,21,User Desc,Yes,No,No,No,No,No,No,No,No,No
866,32,0.036951501,14,2.285714286,47,819,1,31,1,31,0,0,1480,293,2,Tue Jun 26 15:56:40 +0000 2018,16655,No,No,9824,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,1.862586605,80,0,12.52886836,217,No,No,No,1,5,0,0,3,38,1,0,0,0,0,0,1,0,0,5,0,0,3,39,1,0,19,863,3,User Desc,No,No,No,No,No,No,No,No,No,No
3200,0,0,0,0,0,3200,0,0,0,0,0,0,407,588,1,Thu Jun 28 07:59:15 +0000 2018,16236,No,No,20600,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0,0.016875,2,0,0.1553125,30,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,User Desc,No,No,No,No,No,No,No,No,No,No
3200,0,0,0,0,0,3200,0,0,0,0,0,0,407,586,1,Thu Jun 28 07:59:15 +0000 2018,16236,No,No,20600,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0,0.016875,2,0,0.160625,30,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,User Desc,No,No,No,No,No,No,No,No,No,No
182,4,0.021978022,4,1,0,182,0,4,0,4,0,0,5542,2388,2,Sat Jun 30 11:57:55 +0000 2018,36709,Yes,No,57949,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,9.928571429,65,0,13.7967033,122,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,182,0,User Desc,No,No,No,No,No,No,No,No,No,No
