Filename,followers_count,friends_count,verified,statuses_count,following,user_mentions,Num replies with high Toxicity,Num replies with high Severe_Toxicity,Num replies with high Identity_Attack,Num replies with high Insult,Num replies with high Profanity,Num replies with high Threat,Num replies with high other attr,Top Desc Word #1: women,Top Desc Word #2: love,Top Desc Word #3: news,Top Desc Word #4: account,Top Desc Word #5: feminist,Top Desc Word #6: official,Top Desc Word #7: follow,Top Desc Word #8: products,Top Desc Word #9: tweets,Top Desc Word #10: womens
1020511766407670000,8379,1,No,85635,No,Yes,0,0,0,0,0,0,0,No,No,No,Yes,No,No,No,No,No,No
1021361523589980000,28390,23316,No,135015,No,Yes,3,0,0,14,16,1,0,No,No,No,No,No,No,No,No,No,No
1021704239524070000,8195,7644,No,306477,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1022104826,11779,999,Yes,13411,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1022901741908640000,3223,80,No,363,No,Yes,0,0,0,0,1,0,0,No,No,No,No,No,No,No,No,No,No
102308119,3939,112,No,399905,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
102308119,3931,107,No,401302,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
102359952,4003,1592,No,67715,No,Yes,0,0,0,0,0,0,0,No,No,No,No,Yes,No,No,No,No,No
1024241733540960000,3834,926,No,314,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1026348752,11272,3312,No,61116,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1027673786433320000,715,507,No,3406,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1029315571559680000,1866,92,Yes,438,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,Yes,Yes
1029616295778620000,5631,62,No,19142,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1031790358756120000,7677,8601,No,11519,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1032235428244580000,230,137,No,1426,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1034261393250430000,2489,902,No,40995,No,Yes,3,0,0,0,18,0,0,No,No,No,No,No,No,No,No,No,No
1035290955862220000,1485,2358,No,23969,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1035352405985110000,761,1908,No,18167,No,Yes,0,0,0,0,0,0,0,No,Yes,No,No,No,No,No,No,No,No
1037013713260340000,339,222,No,3008,No,Yes,0,0,0,0,0,0,0,Yes,Yes,No,No,No,No,No,No,No,No
1037236840271500000,122,116,No,391,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1037720946742880000,759,3490,No,8099,No,Yes,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No
1038072814870430000,8750,6450,No,43647,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1039267748,90944,10807,No,206213,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1039588898777830000,21823,7706,No,125983,No,Yes,0,0,0,0,2,3,0,No,No,No,No,No,No,No,No,No,No
1039686803085770000,50992,3335,No,88594,No,Yes,1,0,1,1,4,2,0,No,No,No,No,No,No,No,No,No,No
103989424,1075,1117,No,53261,No,Yes,0,0,0,0,0,0,0,No,Yes,No,No,No,No,No,No,No,No
103989424,1075,1119,No,53175,No,Yes,0,0,0,0,0,0,0,No,Yes,No,No,No,No,No,No,No,No
1040683794,1902,1874,No,225684,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1040725442855160000,172,34,No,1337,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1040725442855160000,165,37,No,1634,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1041790931563930000,15693,5156,No,54790,No,Yes,2,0,3,2,47,5,0,No,No,No,No,No,No,No,No,No,No
1042633271421680000,2323,3082,No,21058,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
104606970,3336,1197,No,602177,No,Yes,1,0,2,0,10,0,0,No,No,No,No,No,No,No,No,No,No
1046939046,21447,988,No,41449,No,Yes,0,0,0,0,0,0,0,No,Yes,No,No,No,No,No,No,No,No
1047071760389160000,5925,2022,No,9998,No,Yes,0,0,0,0,1,0,0,No,No,No,No,Yes,No,No,No,No,No
1047071760389160000,5764,1962,No,9727,No,Yes,0,0,0,0,1,0,0,No,No,No,No,Yes,No,No,No,No,No
1047449279667650000,752,241,No,4047,No,Yes,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No
1047449279667650000,712,223,No,3817,No,Yes,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No
1047449279667650000,719,226,No,3847,No,Yes,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No
1047449279667650000,752,241,No,4057,No,Yes,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No
1047856751809350000,2871,936,No,44692,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1049690254905670000,1322,1132,No,129387,No,Yes,0,0,2,0,9,0,0,No,No,No,No,No,No,No,No,Yes,No
1050854971753840000,1076,644,No,21766,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1051882719079210000,5973,5304,No,41689,No,Yes,0,0,0,0,0,0,0,No,Yes,No,No,No,No,No,No,No,No
1053004143802140000,10,43,No,7192,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1053004143802140000,10,43,No,7360,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1053004143802140000,11,43,No,7816,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1053702647805550000,2232,1243,No,8351,No,Yes,0,0,0,0,1,0,0,No,No,No,No,No,No,No,No,No,No
1054133176547900000,101,223,No,4251,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1054718655999760000,16324,37,No,2912,No,Yes,0,0,0,0,0,1,0,No,No,No,No,No,No,No,No,No,No
1054732416122630000,172,109,No,29481,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1055424372289220000,1433,1200,No,24098,No,Yes,0,0,0,0,0,0,0,No,No,No,No,Yes,No,No,No,No,No
1055472599025810000,2,0,No,4800,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1055816906437860000,5,4,No,98495,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1055816906437860000,5,4,No,82983,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1055816906437860000,5,4,No,85011,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1055816906437860000,5,4,No,99145,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1056609484892720000,505,192,No,2100,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1056854505806020000,39,5,No,6301,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1056922520199270000,270178,74,No,1017,No,Yes,0,0,2,16,2,23,0,No,No,No,No,No,No,No,No,No,No
1056922520199270000,269839,74,No,1011,No,Yes,1,0,0,2,2,2,0,No,No,No,No,No,No,No,No,No,No
1056922520199270000,264176,75,No,979,No,Yes,0,0,1,4,0,7,0,No,No,No,No,No,No,No,No,No,No
1056922520199270000,270640,74,No,1023,No,Yes,1,0,4,28,3,10,0,No,No,No,No,No,No,No,No,No,No
1057181912354220000,115,282,No,7028,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
