Parent tweets,Replies to parents,Avg replies per parent,Parent tweets with replies,Avg replies per parent with replies,Toxic parent tweets,Non-toxic parent tweets,Toxic replies,Non-toxic replies,Toxic replies to non-toxic parents,Non-toxic replies to non-toxic parents,Toxic replies to toxic parents,Non-toxic replies to toxic parents,Followers_count,Friends_count,Listed_count,Favourites_count,Verified,Statuses_count,Retweet_count min,Retweet_count avg,Retweet_count max,Favorite_count min,Favorite_count avg,Favorite_count max,Possibly_sensitive,Repliers with min 1 toxic reply,High toxicity parents,High severe_toxicity parents,High identity_attack parents,High insult parents,High profanity parents,High threat parents,High other attr parents,High toxicity replies,High severe_toxicity replies,High identity_attack replies,High insult replies,High profanity replies,High threat replies,High other attr replies,Repliers,<3 replies parents,>=3 replies parents,Women,Love,News,Account,Feminist,Official,Follow,Products,Tweets,Womens,Toxicity
3200.0,0.0,0.0,0.0,0.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,56.0,2.0,30.0,0,34667.0,0.0,0.10375,3.0,0.0,0.07375,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200,0,0,0,1,0,0,0,0,0,0,0,0.0
3200.0,0.0,0.0,0.0,0.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,56.0,2.0,30.0,0,35339.0,0.0,0.098125,2.0,0.0,0.06,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200,0,0,0,1,0,0,0,0,0,0,0,0.0
1370.0,115.0,0.083941606,105.0,1.095238095,223.0,1147.0,8.0,107.0,7.0,94.0,1.0,13.0,4495.0,2228.0,27.0,186870.0,0,645799.0,0.0,0.217518248,12.0,0.0,0.454744526,15.0,0,8.0,8.0,0.0,60.0,5.0,145.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,75.0,1367,3,0,0,0,0,0,0,0,0,0,0,231.0
3200.0,2.0,0.000625,1.0,2.0,0.0,3200.0,0.0,2.0,0.0,2.0,0.0,0.0,300.0,29.0,3.0,144.0,0,3832.0,0.0,4.064375,34.0,0.0,1.5825,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3200,0,0,0,0,0,0,0,0,0,0,0,0.0
3200.0,0.0,0.0,0.0,0.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,6.0,3.0,0,95314.0,0.0,0.0015625,2.0,0.0,0.00125,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200,0,0,0,0,0,0,0,0,0,0,0,0.0
1909.0,9.0,0.00471451,9.0,1.0,17.0,1892.0,0.0,9.0,0.0,9.0,0.0,0.0,523.0,921.0,1.0,186934.0,0,24078.0,0.0,0.071765322,6.0,0.0,0.332111053,11.0,1,0.0,1.0,0.0,0.0,2.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1909,0,0,0,0,0,0,0,0,0,0,0,17.0
1450.0,501.0,0.345517241,74.0,6.77027027,58.0,1392.0,10.0,491.0,9.0,473.0,1.0,18.0,115382.0,179.0,892.0,37913.0,0,12924.0,0.0,96.17517241,2893.0,19.0,501.2282759,19098.0,0,10.0,2.0,0.0,4.0,14.0,37.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,395.0,1398,52,0,0,0,0,0,0,0,0,0,0,68.0
1460.0,479.0,0.328082192,70.0,6.842857143,55.0,1405.0,13.0,466.0,13.0,466.0,0.0,0.0,114937.0,179.0,892.0,37824.0,0,13076.0,0.0,95.8630137,2897.0,19.0,499.2787671,19107.0,0,13.0,2.0,0.0,3.0,13.0,35.0,2.0,0.0,0.0,0.0,1.0,5.0,7.0,0.0,0.0,380.0,1411,49,0,0,0,0,0,0,0,0,0,0,68.0
1464.0,541.0,0.369535519,34.0,15.91176471,47.0,1417.0,9.0,532.0,9.0,532.0,0.0,0.0,111772.0,179.0,868.0,37942.0,0,13887.0,0.0,92.54508197,3133.0,19.0,490.5321038,19836.0,0,9.0,1.0,0.0,2.0,12.0,32.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,477.0,1445,19,0,0,0,0,0,0,0,0,0,0,56.0
1483.0,548.0,0.369521241,47.0,11.65957447,55.0,1428.0,16.0,532.0,15.0,527.0,1.0,5.0,112219.0,180.0,874.0,37864.0,0,13796.0,0.0,93.08698584,3079.0,19.0,492.1078894,19769.0,0,16.0,1.0,0.0,1.0,15.0,36.0,2.0,0.0,1.0,0.0,2.0,2.0,11.0,0.0,0.0,435.0,1449,34,0,0,0,0,0,0,0,0,0,0,71.0
1440.0,450.0,0.3125,41.0,10.97560976,47.0,1393.0,15.0,435.0,15.0,435.0,0.0,0.0,113250.0,177.0,888.0,37729.0,0,13598.0,0.0,95.07291667,3004.0,19.0,501.5972222,19645.0,0,15.0,0.0,0.0,1.0,14.0,30.0,2.0,0.0,1.0,0.0,0.0,2.0,11.0,1.0,0.0,386.0,1409,31,0,0,0,0,0,0,0,0,0,0,62.0
1438.0,482.0,0.335187761,69.0,6.985507246,97.0,1341.0,10.0,472.0,10.0,456.0,0.0,16.0,115761.0,179.0,898.0,37989.0,0,12912.0,0.0,97.02920723,2888.0,19.0,505.1655076,19065.0,0,10.0,2.0,0.0,4.0,24.0,65.0,2.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,379.0,1387,51,0,0,0,0,0,0,0,0,0,0,107.0
396.0,213.0,0.537878788,39.0,5.461538462,17.0,379.0,1.0,212.0,1.0,176.0,0.0,36.0,4774.0,1304.0,0.0,34579.0,0,38520.0,0.0,6.406565657,254.0,0.0,39.24747475,1356.0,0,1.0,1.0,0.0,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,140.0,375,21,0,0,0,0,0,0,0,0,0,0,18.0
790.0,1.0,0.001265823,1.0,1.0,142.0,648.0,0.0,1.0,0.0,1.0,0.0,0.0,2014.0,50.0,15.0,73960.0,0,18170.0,0.0,0.93164557,7.0,0.0,8.953164557,55.0,1,0.0,38.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,790,0,0,0,0,0,0,0,0,0,0,0,142.0
3189.0,92.0,0.028849169,51.0,1.803921569,57.0,3132.0,3.0,89.0,2.0,85.0,1.0,4.0,44100.0,14.0,227.0,36.0,0,11294.0,0.0,10.69269363,130.0,3.0,73.3963625,707.0,0,3.0,0.0,0.0,0.0,0.0,52.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,80.0,3180,9,0,0,0,0,0,0,0,0,1,0,60.0
3126.0,87.0,0.027831094,51.0,1.705882353,49.0,3077.0,1.0,86.0,1.0,86.0,0.0,0.0,41294.0,14.0,209.0,36.0,0,10682.0,0.0,10.75207933,120.0,3.0,74.33045425,661.0,0,1.0,0.0,0.0,0.0,0.0,42.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,69.0,3120,6,0,0,0,0,0,0,0,0,1,0,50.0
3129.0,98.0,0.031319911,66.0,1.484848485,35.0,3094.0,0.0,98.0,0.0,97.0,0.0,1.0,41905.0,14.0,213.0,35.0,0,10833.0,0.0,10.85842122,120.0,3.0,74.3627357,661.0,0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,3121,8,0,0,0,0,0,0,0,0,1,0,35.0
3122.0,84.0,0.02690583,55.0,1.527272727,42.0,3080.0,4.0,80.0,4.0,78.0,0.0,2.0,42590.0,14.0,219.0,36.0,0,10974.0,0.0,10.80845612,118.0,3.0,74.37155669,661.0,0,4.0,0.0,0.0,0.0,0.0,35.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,70.0,3118,4,0,0,0,0,0,0,0,0,1,0,46.0
3189.0,92.0,0.028849169,50.0,1.84,94.0,3095.0,6.0,86.0,5.0,83.0,1.0,3.0,44263.0,14.0,228.0,36.0,0,11325.0,0.0,10.6321731,131.0,3.0,73.19253685,715.0,0,6.0,0.0,0.0,0.0,0.0,85.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,79.0,3180,9,0,0,0,0,0,0,0,0,1,0,100.0
36.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,873.0,651.0,1.0,4498.0,0,1897.0,0.0,0.111111111,1.0,0.0,3.777777778,31.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0,0,0,0,0,0,0,0,0,0,0,0.0
722.0,150.0,0.207756233,44.0,3.409090909,2.0,720.0,0.0,150.0,0.0,150.0,0.0,0.0,14351.0,1556.0,42.0,117180.0,0,37631.0,0.0,30.57202216,508.0,4.0,119.6398892,1707.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,704,18,1,0,0,0,0,0,0,0,0,0,2.0
729.0,165.0,0.226337449,44.0,3.75,0.0,729.0,2.0,163.0,2.0,163.0,0.0,0.0,14364.0,1558.0,46.0,117390.0,0,37683.0,0.0,30.74074074,507.0,4.0,119.7256516,1705.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,143.0,710,19,1,0,0,0,0,0,0,0,0,0,2.0
733.0,264.0,0.360163711,60.0,4.4,1.0,732.0,5.0,259.0,5.0,259.0,0.0,0.0,14307.0,1560.0,41.0,116998.0,0,37531.0,0.0,30.56207367,511.0,4.0,120.154161,1708.0,0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,215.0,712,21,1,0,0,0,0,0,0,0,0,0,6.0
866.0,32.0,0.036951501,14.0,2.285714286,47.0,819.0,1.0,31.0,1.0,31.0,0.0,0.0,1480.0,293.0,2.0,16655.0,0,9824.0,0.0,1.862586605,80.0,0.0,12.52886836,217.0,0,1.0,5.0,0.0,0.0,3.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,863,3,0,0,0,0,0,0,0,0,0,0,48.0
3200.0,0.0,0.0,0.0,0.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,588.0,1.0,16236.0,0,20600.0,0.0,0.016875,2.0,0.0,0.1553125,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200,0,0,0,0,0,0,0,0,0,0,0,0.0
3200.0,0.0,0.0,0.0,0.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,586.0,1.0,16236.0,0,20600.0,0.0,0.016875,2.0,0.0,0.160625,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200,0,0,0,0,0,0,0,0,0,0,0,0.0
182.0,4.0,0.021978022,4.0,1.0,0.0,182.0,0.0,4.0,0.0,4.0,0.0,0.0,5542.0,2388.0,2.0,36709.0,0,57949.0,0.0,9.928571429,65.0,0.0,13.7967033,122.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,182,0,0,0,0,0,0,0,0,0,0,0,0.0
683.0,551.0,0.806734993,125.0,4.408,3.0,680.0,0.0,551.0,0.0,551.0,0.0,0.0,143182.0,2096.0,96.0,20339.0,0,163431.0,0.0,15.31918009,2134.0,0.0,70.37335286,15046.0,0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,625,58,0,0,0,0,0,0,0,0,0,0,3.0
3200.0,2.0,0.000625,2.0,1.0,0.0,3200.0,0.0,2.0,0.0,2.0,0.0,0.0,7792.0,1136.0,99.0,101.0,0,17499.0,0.0,14.350625,64.0,0.0,6.764375,44.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3200,0,0,0,0,0,0,0,0,0,0,0,0.0
3200.0,2.0,0.000625,2.0,1.0,0.0,3200.0,0.0,2.0,0.0,2.0,0.0,0.0,7802.0,1136.0,99.0,101.0,0,17535.0,0.0,14.4525,67.0,0.0,6.8140625,44.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3200,0,0,0,0,0,0,0,0,0,0,0,0.0
3200.0,6.0,0.001875,6.0,1.0,0.0,3200.0,0.0,6.0,0.0,6.0,0.0,0.0,7864.0,1133.0,104.0,101.0,0,17983.0,0.0,14.50875,62.0,0.0,6.744375,34.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3200,0,0,0,0,0,0,0,0,0,0,0,0.0
3247.0,2.0,0.000615953,2.0,1.0,0.0,3247.0,0.0,2.0,0.0,2.0,0.0,0.0,1297.0,3688.0,1.0,18131.0,0,28290.0,0.0,0.004003696,1.0,0.0,0.029257776,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3247,0,0,0,0,0,0,0,0,0,0,0,0.0
92.0,40.0,0.434782609,27.0,1.481481481,1.0,91.0,0.0,40.0,0.0,40.0,0.0,0.0,1497.0,120.0,1.0,31167.0,0,41684.0,0.0,1.402173913,21.0,0.0,4.576086957,69.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,90,2,0,0,0,0,0,0,0,0,0,0,1.0
253.0,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,297.0,0.0,209.0,0,486.0,0.0,1.56916996,36.0,0.0,5.679841897,435.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253,0,1,0,0,0,0,0,0,0,0,0,0.0
