followers_count,friends_count,verified,statuses_count,women,love,news,account,feminist,official,follow,products,tweets,womens,Toxicity
1902.0,1874.0,0,225684.0,0,0,0,0,0,0,0,0,0,0,0.0
172.0,34.0,0,1337.0,0,0,0,0,0,0,0,0,0,0,0.0
165.0,37.0,0,1634.0,0,0,0,0,0,0,0,0,0,0,0.0
15693.0,5156.0,0,54790.0,0,0,0,0,0,0,0,0,0,0,59.0
2323.0,3082.0,0,21058.0,0,0,0,0,0,0,0,0,0,0,0.0
3336.0,1197.0,0,602177.0,0,0,0,0,0,0,0,0,0,0,13.0
21447.0,988.0,0,41449.0,0,1,0,0,0,0,0,0,0,0,0.0
5925.0,2022.0,0,9998.0,0,0,0,0,1,0,0,0,0,0,1.0
5764.0,1962.0,0,9727.0,0,0,0,0,1,0,0,0,0,0,1.0
752.0,241.0,0,4047.0,1,0,0,0,0,0,0,0,0,0,0.0
712.0,223.0,0,3817.0,1,0,0,0,0,0,0,0,0,0,0.0
719.0,226.0,0,3847.0,1,0,0,0,0,0,0,0,0,0,0.0
752.0,241.0,0,4057.0,1,0,0,0,0,0,0,0,0,0,0.0
2871.0,936.0,0,44692.0,0,0,0,0,0,0,0,0,0,0,0.0
1322.0,1132.0,0,129387.0,0,0,0,0,0,0,0,0,1,0,11.0
1076.0,644.0,0,21766.0,0,0,0,0,0,0,0,0,0,0,0.0
5973.0,5304.0,0,41689.0,0,1,0,0,0,0,0,0,0,0,0.0
10.0,43.0,0,7192.0,0,0,0,0,0,0,0,0,0,0,0.0
10.0,43.0,0,7360.0,0,0,0,0,0,0,0,0,0,0,0.0
11.0,43.0,0,7816.0,0,0,0,0,0,0,0,0,0,0,0.0
2232.0,1243.0,0,8351.0,0,0,0,0,0,0,0,0,0,0,1.0
101.0,223.0,0,4251.0,0,0,0,0,0,0,0,0,0,0,0.0
16324.0,37.0,0,2912.0,0,0,0,0,0,0,0,0,0,0,1.0
172.0,109.0,0,29481.0,0,0,0,0,0,0,0,0,0,0,0.0
1433.0,1200.0,0,24098.0,0,0,0,0,1,0,0,0,0,0,0.0
2.0,0.0,0,4800.0,0,0,0,0,0,0,0,0,0,0,0.0
5.0,4.0,0,98495.0,0,0,0,0,0,0,0,0,0,0,0.0
5.0,4.0,0,82983.0,0,0,0,0,0,0,0,0,0,0,0.0
5.0,4.0,0,85011.0,0,0,0,0,0,0,0,0,0,0,0.0
5.0,4.0,0,99145.0,0,0,0,0,0,0,0,0,0,0,0.0
505.0,192.0,0,2100.0,0,0,0,0,0,0,0,0,0,0,0.0
39.0,5.0,0,6301.0,0,0,0,0,0,0,0,0,0,0,0.0
270178.0,74.0,0,1017.0,0,0,0,0,0,0,0,0,0,0,43.0
269839.0,74.0,0,1011.0,0,0,0,0,0,0,0,0,0,0,7.0
264176.0,75.0,0,979.0,0,0,0,0,0,0,0,0,0,0,12.0
270640.0,74.0,0,1023.0,0,0,0,0,0,0,0,0,0,0,46.0
115.0,282.0,0,7028.0,0,0,0,0,0,0,0,0,0,0,0.0
115.0,281.0,0,7652.0,0,0,0,0,0,0,0,0,0,0,0.0
46.0,40.0,0,38522.0,1,0,0,0,0,0,0,0,0,0,0.0
46.0,40.0,0,38522.0,1,0,0,0,0,0,0,0,0,0,0.0
47.0,40.0,0,38522.0,1,0,0,0,0,0,0,0,0,0,0.0
47.0,40.0,0,38522.0,1,0,0,0,0,0,0,0,0,0,0.0
28683.0,3909.0,1,28712.0,1,0,0,0,0,0,0,0,0,0,0.0
766.0,2494.0,0,3116.0,1,0,0,0,0,0,0,0,0,0,0.0
13835.0,6343.0,0,28006.0,0,0,0,0,0,0,0,0,0,0,26.0
13789.0,6346.0,0,27723.0,0,0,0,0,0,0,0,0,0,0,8.0
118.0,217.0,0,18213.0,0,0,0,0,0,0,0,0,0,0,0.0
