Dataset,Best Model Silhouette Score,Best Model Inertia,Chosen Model Silhouette Score,Chosen Model Inertia
Convabuse,0.6534823780821838,167.655658254129,0.6824183576117808,40.26328855956639
Dynamically Generated Hate Speech,0.5922348082232475,899.7484133403477,0.6568481613250476,129.4781226169749
US Elections 2020 Hate Speech,0.5256828404026201,7.981053689540705e-31,0.5256828404026201,3.342489937082936e-29
MLMA Hate Speech,0.1150029449182097,1034.922427960983,0.2933872551244078,668.5472346624641
