Model,Dataset,Kernel,Regularization,Accuracy,F1-score,Ratio,Best Parameters,Feature Importances
K-Nearest Neighbors,Convabuse,NA,NA,0.6223414828065991,0.6206799562371177,0.0,"{'knn_classifier__metric': 'euclidean', 'knn_classifier__n_neighbors': 40, 'knn_classifier__weights': 'distance'}","{'annotator_id': np.float64(0.1456569270522759), 'bot': np.float64(0.034128403895845746), 'generalised': np.float64(0.0), 'individual': np.float64(0.0), 'system': np.float64(0.19149274498111707), 'explicit': np.float64(0.006976744186046491), 'implicit': np.float64(0.09793281653746769), 'target_groups': np.float64(0.029735639037964612)}"
K-Nearest Neighbors,Dynamically Generated Hate Speech,NA,NA,0.8523985239852399,0.8513076732384929,0.0,"{'knn_classifier__metric': 'euclidean', 'knn_classifier__n_neighbors': 30, 'knn_classifier__weights': 'uniform'}","{'type': np.float64(0.1886136004217185), 'annotator': np.float64(0.02679230363732208), 'target_groups': np.float64(0.08191881918819187), 'original': np.float64(0.013099630996309952)}"
K-Nearest Neighbors,US Elections 2020 Hate Speech,NA,NA,0.7035984848484849,0.7026316577874102,0.0,"{'knn_classifier__metric': 'euclidean', 'knn_classifier__n_neighbors': 20, 'knn_classifier__weights': 'uniform'}","{'Trump': np.float64(0.13617424242424242), 'Biden': np.float64(0.12462121212121213), 'West': np.float64(0.0)}"
K-Nearest Neighbors,MLMA Hate Speech,NA,NA,0.6028368794326241,0.5081221431667367,0.0,"{'knn_classifier__metric': 'chebyshev', 'knn_classifier__n_neighbors': 42, 'knn_classifier__weights': 'uniform'}","{'shock_annotator_sentiment': np.float64(0.012193126022913248), 'anger_annotator_sentiment': np.float64(0.022749590834697207), 'confusion_annotator_sentiment': np.float64(0.008101472995089998), 'sadness_annotator_sentiment': np.float64(0.021112929623567877), 'indifference_annotator_sentiment': np.float64(0.007446808510638281), 'disgust_annotator_sentiment': np.float64(0.0159574468085106), 'fear_annotator_sentiment': np.float64(0.00379159847244952), 'implicit': np.float64(0.00870158210583739), 'explicit': np.float64(0.00870158210583739), 'Abusive': np.float64(0.006246590289143461), 'Not Abusive': np.float64(0.018030551009274386), 'Very Abusive': np.float64(0.005019094380796485), 'Very Strongly Abusive': np.float64(0.0010911074740861837)}"
